flight_ID,airport_ID,airline_ID,flight_date,expected_time,is_destination
0,3115,88,2022-06-06,00:57:00,False
0,301,88,2022-06-06,03:25:00,True
1,3115,88,2022-06-06,10:18:00,False
1,301,88,2022-06-06,12:45:00,True
2,3115,88,2022-06-06,16:40:00,False
2,307,88,2022-06-06,18:46:00,True
3,3115,88,2022-06-06,01:06:00,False
3,307,88,2022-06-06,03:12:00,True
4,3115,88,2022-06-06,17:15:00,False
4,307,88,2022-06-06,19:21:00,True
5,3115,103,2022-06-06,18:48:00,False
5,1290,103,2022-06-06,20:11:00,True
6,3115,103,2022-06-06,02:27:00,False
6,1290,103,2022-06-06,03:49:00,True
7,3115,103,2022-06-06,21:33:00,False
7,1290,103,2022-06-06,22:55:00,True
8,3115,108,2022-06-06,11:19:00,False
8,1125,108,2022-06-06,11:48:00,True
9,3115,108,2022-06-06,13:41:00,False
9,1125,108,2022-06-06,14:11:00,True
10,3115,108,2022-06-06,12:02:00,False
10,1125,108,2022-06-06,12:31:00,True
11,3115,108,2022-06-06,19:47:00,False
11,1125,108,2022-06-06,20:17:00,True
12,3115,148,2022-06-06,11:04:00,False
12,1107,148,2022-06-06,11:36:00,True
13,3115,148,2022-06-06,17:30:00,False
13,1646,148,2022-06-06,21:35:00,True
14,3115,148,2022-06-06,19:44:00,False
14,1646,148,2022-06-06,23:49:00,True
15,3115,148,2022-06-06,02:59:00,False
15,1646,148,2022-06-06,07:05:00,True
16,3115,148,2022-06-06,12:11:00,False
16,1097,148,2022-06-06,12:39:00,True
17,3115,148,2022-06-06,02:08:00,False
17,1097,148,2022-06-06,02:36:00,True
18,3115,148,2022-06-06,15:11:00,False
18,1097,148,2022-06-06,15:39:00,True
19,3115,148,2022-06-06,06:56:00,False
19,952,148,2022-06-06,09:19:00,True
20,3115,148,2022-06-06,05:07:00,False
20,1294,148,2022-06-06,06:08:00,True
21,3115,148,2022-06-06,15:06:00,False
21,1294,148,2022-06-06,16:07:00,True
22,3115,148,2022-06-06,10:15:00,False
22,1294,148,2022-06-06,11:16:00,True
23,3115,148,2022-06-06,09:39:00,False
23,1294,148,2022-06-06,10:40:00,True
24,3115,148,2022-06-06,00:45:00,False
24,1294,148,2022-06-06,01:46:00,True
25,3115,148,2022-06-06,17:21:00,False
25,281,148,2022-06-06,19:58:00,True
26,3115,148,2022-06-06,05:45:00,False
26,281,148,2022-06-06,08:23:00,True
27,3115,148,2022-06-06,05:24:00,False
27,877,148,2022-06-06,06:49:00,True
28,3115,148,2022-06-06,14:35:00,False
28,1055,148,2022-06-06,17:14:00,True
29,3115,148,2022-06-06,14:09:00,False
29,1055,148,2022-06-06,16:47:00,True
30,3115,148,2022-06-06,01:52:00,False
30,1055,148,2022-06-06,04:31:00,True
31,3115,148,2022-06-06,18:45:00,False
31,1108,148,2022-06-06,19:15:00,True
32,3115,148,2022-06-06,14:31:00,False
32,1108,148,2022-06-06,15:01:00,True
33,3115,148,2022-06-06,15:34:00,False
33,1120,148,2022-06-06,15:55:00,True
34,3115,148,2022-06-06,01:37:00,False
34,3191,148,2022-06-06,04:26:00,True
35,3115,148,2022-06-06,18:47:00,False
35,302,148,2022-06-06,21:17:00,True
36,3115,148,2022-06-06,12:32:00,False
36,302,148,2022-06-06,15:02:00,True
37,3115,148,2022-06-06,02:36:00,False
37,302,148,2022-06-06,05:06:00,True
38,3115,148,2022-06-06,21:39:00,False
38,302,148,2022-06-07,01:09:00,True
39,3115,148,2022-06-06,07:49:00,False
39,302,148,2022-06-06,10:19:00,True
40,3115,148,2022-06-06,16:58:00,False
40,1104,148,2022-06-06,17:22:00,True
41,3115,148,2022-06-06,02:51:00,False
41,1104,148,2022-06-06,03:15:00,True
42,3115,148,2022-06-06,19:47:00,False
42,1104,148,2022-06-06,20:11:00,True
43,3115,148,2022-06-06,19:25:00,False
43,297,148,2022-06-06,21:41:00,True
44,3115,148,2022-06-06,00:54:00,False
44,297,148,2022-06-06,03:11:00,True
45,3115,148,2022-06-06,23:43:00,False
45,297,148,2022-06-07,02:59:00,True
46,3115,148,2022-06-06,13:20:00,False
46,1249,148,2022-06-06,15:29:00,True
47,3115,148,2022-06-06,02:43:00,False
47,2616,148,2022-06-06,13:05:00,True
48,3115,148,2022-06-06,00:41:00,False
48,1101,148,2022-06-06,01:07:00,True
49,3115,148,2022-06-06,14:14:00,False
49,1101,148,2022-06-06,14:39:00,True
50,3115,148,2022-06-06,22:30:00,False
50,2243,148,2022-06-07,01:23:00,True
51,3115,148,2022-06-06,12:10:00,False
