i,airline_IATA,airport1_IATA,airport2_IATA,airline_ID,hours,airport_ID1,airport_ID2
0,4U,ATH,CGN,88,2.444,3115,301
1,4U,ATH,STR,88,2.096,3115,307
2,9U,ATH,KIV,103,1.361,3115,1290
3,A2,ATH,JSH,108,0.469,3115,1125
4,A3,ATH,AOK,148,0.52,3115,1107
5,A3,ATH,AUH,148,4.077,3115,1646
6,A3,ATH,AXD,148,0.46,3115,1097
7,A3,ATH,BCN,148,2.35,3115,952
8,A3,ATH,BEG,148,1.01,3115,1294
9,A3,ATH,BRU,148,2.615,3115,281
10,A3,ATH,BUD,148,1.407,3115,1129
11,A3,ATH,CAI,148,1.403,3115,877
12,A3,ATH,CDG,148,2.624,3115,1055
13,A3,ATH,CFU,148,0.483,3115,1108
14,A3,ATH,CHQ,148,0.345,3115,1120
15,A3,ATH,DME,148,2.792,3115,3191
16,A3,ATH,DUS,148,2.482,3115,302
17,A3,ATH,EFL,148,0.367,3115,1104
18,A3,ATH,FCO,148,1.315,3115,1173
19,A3,ATH,FRA,148,2.252,3115,297
20,A3,ATH,GVA,148,2.14,3115,1249
21,A3,ATH,HBE,148,10.34,3115,2616
22,A3,ATH,HER,148,0.401,3115,1101
23,A3,ATH,IEV,148,1.86,3115,2243
24,A3,ATH,IOA,148,0.39,3115,1100
25,A3,ATH,IST,148,0.704,3115,6045
26,A3,ATH,JIK,148,0.25,3115,3329
27,A3,ATH,JKH,148,0.269,3115,1099
28,A3,ATH,JKL,148,0.35,3115,3330
29,A3,ATH,JMK,148,0.191,3115,1115
30,A3,ATH,JNX,148,0.183,3115,3332
31,A3,ATH,JSI,148,0.168,3115,1121
32,A3,ATH,JSY,148,0.117,3115,3836
33,A3,ATH,JTR,148,0.289,3115,1124
34,A3,ATH,JTY,148,0.317,3115,3328
35,A3,ATH,KGS,148,0.422,3115,1106
36,A3,ATH,KIT,148,0.269,3115,1103
37,A3,ATH,KVA,148,0.417,3115,1110
38,A3,ATH,LCA,148,1.188,3115,936
39,A3,ATH,LED,148,3.111,3115,2246
40,A3,ATH,LHR,148,2.994,3115,411
41,A3,ATH,LRS,148,0.366,3115,1112
42,A3,ATH,LXS,148,0.3,3115,1113
43,A3,ATH,LYS,148,2.228,3115,1021
44,A3,ATH,MAD,148,2.966,3115,960
45,A3,ATH,MAN,148,3.286,3115,388
46,A3,ATH,MJT,148,0.345,3115,1116
47,A3,ATH,MLO,148,0.193,3115,3331
48,A3,ATH,MRS,148,2.07,3115,1034
49,A3,ATH,MUC,148,1.873,3115,303
50,A3,ATH,MXP,148,1.83,3115,1151
51,A3,ATH,NTE,148,2.874,3115,1079
52,A3,ATH,OSL,148,3.261,3115,515
53,A3,ATH,OTP,148,0.931,3115,1242
54,A3,ATH,PAS,148,0.206,3115,3333
55,A3,ATH,PHL,148,10.082,3115,2940
56,A3,ATH,PRG,148,1.92,3115,1189
57,A3,ATH,RHO,148,0.5,3115,1118
58,A3,ATH,SKG,148,0.379,3115,1127
59,A3,ATH,SKU,148,0.15,3115,1126
60,A3,ATH,SMI,148,1.05,3115,1122
61,A3,ATH,SOF,148,0.657,3115,933
62,A3,ATH,TBS,148,2.304,3115,3141
63,A3,ATH,TIA,148,0.626,3115,929
64,A3,ATH,TLV,148,1.483,3115,1192
65,A3,ATH,TXL,148,2.256,3115,308
66,A3,ATH,VIE,148,1.606,3115,1208
67,A3,ATH,WAW,148,2.0,3115,543
68,A3,ATH,ZTH,148,0.312,3115,1128
69,AA,ATH,LHR,153,2.994,3115,411
70,AA,ATH,PHL,153,10.082,3115,2940
71,AF,ATH,CDG,158,2.624,3115,1055
72,AF,ATH,MRS,158,2.07,3115,1034
73,AF,ATH,TLS,158,2.494,3115,991
74,AP,ATH,VCE,119,1.573,3115,1170
75,AZ,ATH,FCO,156,1.315,3115,1173
76,AZ,ATH,LCA,156,1.188,3115,936
77,AZ,ATH,VCE,156,1.573,3115,1170
78,BA,ATH,LHR,152,2.994,3115,411
