airport_ID,airport_name,IATA,ICAO,country,city
0,Goroka Airport,GKA,AYGA,Papua New Guinea,Goroka
1,Madang Airport,MAG,AYMD,Papua New Guinea,Madang
2,Mount Hagen Kagamuga Airport,HGU,AYMH,Papua New Guinea,Mount Hagen
3,Nadzab Airport,LAE,AYNZ,Papua New Guinea,Nadzab
4,Port Moresby Jacksons International Airport,POM,AYPY,Papua New Guinea,Port Moresby
5,Wewak International Airport,WWK,AYWK,Papua New Guinea,Wewak
6,Narsarsuaq Airport,UAK,BGBW,Greenland,Narssarssuaq
7,Godthaab / Nuuk Airport,GOH,BGGH,Greenland,Godthaab
8,Kangerlussuaq Airport,SFJ,BGSF,Greenland,Sondrestrom
9,Thule Air Base,THU,BGTL,Greenland,Thule
10,Akureyri Airport,AEY,BIAR,Iceland,Akureyri
11,Egilsstaðir Airport,EGS,BIEG,Iceland,Egilsstadir
12,Hornafjörður Airport,HFN,BIHN,Iceland,Hofn
13,Húsavík Airport,HZK,BIHU,Iceland,Husavik
14,Ísafjörður Airport,IFJ,BIIS,Iceland,Isafjordur
15,Keflavik International Airport,KEF,BIKF,Iceland,Keflavik
16,Patreksfjörður Airport,PFJ,BIPA,Iceland,Patreksfjordur
17,Reykjavik Airport,RKV,BIRK,Iceland,Reykjavik
18,Siglufjörður Airport,SIJ,BISI,Iceland,Siglufjordur
19,Vestmannaeyjar Airport,VEY,BIVM,Iceland,Vestmannaeyjar
20,Sault Ste Marie Airport,YAM,CYAM,Canada,Sault Sainte Marie
21,St. Anthony Airport,YAY,CYAY,Canada,St. Anthony
22,Tofino / Long Beach Airport,YAZ,CYAZ,Canada,Tofino
23,Kugaaruk Airport,YBB,CYBB,Canada,Pelly Bay
24,Baie Comeau Airport,YBC,CYBC,Canada,Baie Comeau
25,CFB Bagotville,YBG,CYBG,Canada,Bagotville
26,Baker Lake Airport,YBK,CYBK,Canada,Baker Lake
27,Campbell River Airport,YBL,CYBL,Canada,Campbell River
28,Brandon Municipal Airport,YBR,CYBR,Canada,Brandon
29,Cambridge Bay Airport,YCB,CYCB,Canada,Cambridge Bay
30,Nanaimo Airport,YCD,CYCD,Canada,Nanaimo
31,Castlegar/West Kootenay Regional Airport,YCG,CYCG,Canada,Castlegar
32,Miramichi Airport,YCH,CYCH,Canada,Chatham
33,Charlo Airport,YCL,CYCL,Canada,Charlo
34,Kugluktuk Airport,YCO,CYCO,Canada,Coppermine
35,Coronation Airport,YCT,CYCT,Canada,Coronation
36,Chilliwack Airport,YCW,CYCW,Canada,Chilliwack
37,Clyde River Airport,YCY,CYCY,Canada,Clyde River
38,Coral Harbour Airport,YZS,CYZS,Canada,Coral Harbour
39,Dawson City Airport,YDA,CYDA,Canada,Dawson
40,Burwash Airport,YDB,CYDB,Canada,Burwash
41,Deer Lake Airport,YDF,CYDF,Canada,Deer Lake
42,Dease Lake Airport,YDL,CYDL,Canada,Dease Lake
43,Dauphin Barker Airport,YDN,CYDN,Canada,Dauphin
