airline_ID,airline_name,IATA,ICAO,telephone,email,gate_code
0,Vasco,0V,VFC,2102159602,vasco@gmail.com,156
1,Branson Air Express,1X,,2109263527,bransonairexpress@gmail.com,54
2,Angara Airlines,2G,AGU,2107387673,angaraairlines@gmail.com,2
3,Star Peru,2I,SRU,2105785021,starperu@gmail.com,135
4,Air Burkina,2J,VBW,2102819153,airburkina@gmail.com,136
5,Avianca,2K,GLG,2106399813,avianca@gmail.com,35
6,Maya Island Air,2M,MYD,2107278639,mayaislandair@gmail.com,128
7,Albawings,2B,AWT,2106015775,albawings@gmail.com,41
8,Blue Air,0B,BMS,2105046791,blueair@gmail.com,104
9,Helvetic Airways,2L,OAW,2106483647,helveticairways@gmail.com,19
10,Sun D'or Airlines,2U,ERO,2102102423,sund'orairlines@gmail.com,70
11,Passaredo Linhas Aéreas,2Z,PTB,2109753724,passaredolinhasaéreas@gmail.com,154
12,Binter Cabo Verde,3B,NTB,2106417905,bintercaboverde@gmail.com,86
13,Air Chathams,3C,CVA,2105945457,airchathams@gmail.com,56
14,Air Choice One,3E,WBR,2103424091,airchoiceone@gmail.com,142
15,Pacificair,3F,,2108062461,pacificair@gmail.com,40
16,Air Inuit,3H,AIE,2102631023,airinuit@gmail.com,151
17,Jubba Airways,3J,JBW,2104758219,jubbaairways@gmail.com,123
18,Silver Airways,3M,SIL,2109024836,silverairways@gmail.com,30
19,Airline Urga,3N,URG,2108377692,airlineurga@gmail.com,153
20,Air Philip,3P,APV,2101142654,airphilip@gmail.com,114
21,Avior Regional,3R,RGR,2103211329,aviorregional@gmail.com,48
22,Air Antilles,3S,GUY,2103819610,airantilles@gmail.com,81
23,Tarco Aviation,3T,TRQ,2105585714,tarcoaviation@gmail.com,19
24,Sichuan Airlines,3U,CSC,2106140246,sichuanairlines@gmail.com,134
25,Malawi Airlines,3W,MWI,2108338792,malawiairlines@gmail.com,96
26,Boutique Air,4B,BTQ,2100186019,boutiqueair@gmail.com,109
27,Gazpromavia,4G,GZP,2106927406,gazpromavia@gmail.com,74
28,Flydamas,4J,FDK,2109046515,flydamas@gmail.com,62
29,Kenn Borek Air,4K,KBA,2108323683,kennborekair@gmail.com,45
30,Airnorth,4N,ANT,2100118969,airnorth@gmail.com,64
31,Star East Airlines,4R,SEK,2103304002,stareastairlines@gmail.com,70
32,Warbelows Air,4W,WAV,2104360660,warbelowsair@gmail.com,66
33,Airlink,4Z,LNK,2107238400,airlink@gmail.com,78
34,Bassaka Air,5B,BSX,2101632777,bassakaair@gmail.com,21
35,Aeromexico Connect,5D,SLI,2103914262,aeromexicoconnect@gmail.com,138
36,Flyone,5F,FIA,2104116884,flyone@gmail.com,106
37,Flymontserrat,5M,MNT,2106705397,flymontserrat@gmail.com,118
38,Smartavia,5N,AUL,2101174190,smartavia@gmail.com,106
39,Asl Airlines France,5O,FPO,2103563329,aslairlinesfrance@gmail.com,13
40,Rutaca Airlines,5R,RUC,2103975023,rutacaairlines@gmail.com,0
41,Canadian North,5T,MPE,2108137681,canadiannorth@gmail.com,88
42,Tag Airlines,5U,TGU,2104712753,tagairlines@gmail.com,141
43,Cemair,5Z,KEM,2108159593,cemair@gmail.com,109
44,Tui Fly Nordiс,6B,BLX,2106911374,tuiflynordiс@gmail.com,120
45,Air Timor,6C,586,2101676233,airtimor@gmail.com,71
46,Israir Airlines,6H,ISR,2105583623,israirairlines@gmail.com,27
47,Solaseed Air,6J,SNJ,2107025174,solaseedair@gmail.com,24
48,Aklak Air,6L,AKK,2103729092,aklakair@gmail.com,62
49,Niger Airlines,6N,NIN,2105570241,nigerairlines@gmail.com,147
50,Orbest,6O,OBS,2100132799,orbest@gmail.com,54
51,Cham Wings Airlines,6Q,SAW,2108996771,chamwingsairlines@gmail.com,92
52,Alrosa,6R,DRU,2106282884,alrosa@gmail.com,21
53,Saudigulf,6S,SGQ,2106638693,saudigulf@gmail.com,156
54,Smartlynx Airlines Estonia,6Y,MYX,2103654290,smartlynxairlinesestonia@gmail.com,24
55,Madagasikara Airways,7D,AYS,2104942094,madagasikaraairways@gmail.com,30
56,Sylt Air,7E,AWU,2107251016,syltair@gmail.com,102
57,First Air,7F,FAB,2105967526,firstair@gmail.com,126
58,Mayair,7M,MYI,2105138735,mayair@gmail.com,61
59,Air Panama,7P,PST,2102954813,airpanama@gmail.com,47
60,Elite Airways,7Q,MNU,2100586394,eliteairways@gmail.com,141
61,Rusline,7R,RLU,2107880323,rusline@gmail.com,40
62,Federal Airlines,7V,FDR,2105377203,federalairlines@gmail.com,117
63,Windrose Airlines,7W,WRC,2100934938,windroseairlines@gmail.com,43
64,Mann Yadanarpon Airlines,7Y,MYP,2104952972,mannyadanarponairlines@gmail.com,113
65,Transnusa,8B,TNU,2107876430,transnusa@gmail.com,101
66,Bering Air,8E,BRG,2107746006,beringair@gmail.com,44
67,Stp Airways,8F,STP,2109395519,stpairways@gmail.com,104
68,Fly Mid Africa,8G,MFG,2107322259,flymidafrica@gmail.com,90
69,Bhair,8H,BGH,2106490912,bhair@gmail.com,37
70,Ecojet,8J,ECO,2103870063,ecojet@gmail.com,61
71,Myanmar Airways International,8M,MMA,2105809228,myanmarairwaysinternational@gmail.com,93
72,Regional Air,8N,REG,2108422140,regionalair@gmail.com,157
73,Pacific Coastal Airlines,8P,PCO,2104992490,pacificcoastalairlines@gmail.com,96
74,Air Tindi,8T,TID,2105666271,airtindi@gmail.com,120
75,Afriqiyah Airways,8U,AAW,2103068524,afriqiyahairways@gmail.com,158
76,Ewa Air,ZD,EWR,2103403906,ewaair@gmail.com,77
77,Latam Colombia,4C,ARE,2106325184,latamcolombia@gmail.com,39
78,Pal Express,2P,GAP,2105101665,palexpress@gmail.com,82
79,Jetstar Asia,3K,JSA,2100473155,jetstarasia@gmail.com,83
80,Air Arabia Maroc,3O,MAC,2102703776,airarabiamaroc@gmail.com,133
81,Fly540,5H,FFV,2109739241,fly540@gmail.com,52
82,Indigo,6E,IGO,2102504047,indigo@gmail.com,147
83,Jeju Air,7C,JJA,2103978900,jejuair@gmail.com,87
84,Lucky Air,8L,LKE,2108235847,luckyair@gmail.com,129
85,Starflyer,7G,SFJ,2101134607,starflyer@gmail.com,77
86,Trujet,2T,TRJ,2100163048,trujet@gmail.com,64
87,Ravn Alaska,7H,RVF,2108728165,ravnalaska@gmail.com,90
88,Eurowings,4U,GWI,2103030544,eurowings@gmail.com,149
89,Onur Air,8Q,OHY,2103170486,onurair@gmail.com,34
90,Interjet,4O,AIJ,2101451174,interjet@gmail.com,76
91,Wright Air Service,8V,WRT,2109748102,wrightairservice@gmail.com,134
92,Fly All Ways,8W,EDR,2100092261,flyallways@gmail.com,113
93,Pan Pacific Airlines,8Y,AAV,2109002973,panpacificairlines@gmail.com,51
94,Congo Airways,8Z,CGA,2103416682,congoairways@gmail.com,14
95,Air Changan,9H,CGN,2105019580,airchangan@gmail.com,45
96,Alliance Air,9I,LLR,2109463003,allianceair@gmail.com,133
97,Dana Air,9J,DAN,2105686080,danaair@gmail.com,35
98,Cape Air,9K,KAP,2104674866,capeair@gmail.com,8
99,Central Mountain Air,9M,GLR,2102196285,centralmountainair@gmail.com,69
100,Tropic Air,9N,TOS,2100227209,tropicair@gmail.com,107
101,Caicos Express Airways,9Q,CXE,2105093467,caicosexpressairways@gmail.com,116
102,Satena,9R,NSE,2109727961,satena@gmail.com,38
103,Air Moldova,9U,MLD,2103781251,airmoldova@gmail.com,52
104,Avior Airlines,9V,ROI,2107335906,aviorairlines@gmail.com,12
105,Jet Airways,9W,JAI,2104109838,jetairways@gmail.com,139
